REG_ID	REG_ID_GROUP	STATION_NAME	SYNONYM_NAMES	ICES_STATION_NAME	LAT_DM	LONG_DM	LATITUDE_WGS84_SWEREF99_DD	LONGITUDE_WGS84_SWEREF99_DD	LATITUDE_SWEREF99TM	LONGITUDE_SWEREF99TM	OUT_OF_BOUNDS_RADIUS	WADEP	EU_CD	MEDIA	COMNT	OLD_SHARK_ID
00157258	00264873	S50 S MORSKEN	S50<or>S50 / S MORSKEN		5928.73	1902.73	59.4788	19.0455	6600344	729096	1200	5		Biota;Vatten		BPNS30
00157259	00264874	STANNA 9	STANNA 9		5823.77	1653.12	58.3961	16.8854	6474354	610200	1200			Biota;Vatten	VAL-2018-05-14	
00157260	00264875	GUNNARBOLFJÄRDEN			5849.02	1727.97	58.817	17.4662	6522298	642418	1200			Biota;Vatten	VAL-2018-05-14	
00157261	00264876	ANHOLT E	ANHOLT<or>KA 3<or>KA3<or>Kattegatt utsjö_9<or>O ANHOLT	ANHOLT E	5640.00	1207.00	56.6667	12.1167	6283998	323310	2000	62	SE628823-127388	Biota;Vatten	VAL-2018-05-14	KAEX29
00157262	00264877	NORRA VAXHOLMSFJÄRDEN			5924.34	1821.49	59.4057	18.3582	6590035	690608	1200	25		Biota;Vatten	VAL-2018-05-14	BPNS81
00157263	00264878	AC 4			6440.68	2116.42	64.678	21.2737	7187387	799022	1200			Biota;Vatten	VAL-2018-05-14	
00157265	00264879	GAVIKSFJÄRDEN-EDSÄTTERFJÄRDEN E 1	E 1		6254.89	1823.93	62.9148	18.3988	6980660	672602	1200		SE698091-163179	Biota;Vatten	VAL-2018-05-14	
00157266	00264880	S1 BAGGHUSFJÄRDEN	S1<or>S1 / BAGGHUSFJ		5955.17	1853.63	59.9195	18.8938	6648849	717633	1200	5		Biota;Vatten		BPNS01
00157267	00264881	STANNA 1	STANNA 1		5819.32	1658.29	58.322	16.9715	6466254	615477	1200			Biota;Vatten	VAL-2018-05-14	
00157268	00264882	6004 ASENSKALLEN	6004	6004	5846.44	1741.44	58.774	17.6907	6518015	655572	1200			Biota;Vatten	VAL-2018-05-14	
00157269	00264883	KF2	KF 2		6449.15	2105.18	64.8192	21.0863	7202195	788601	1200			Biota;Vatten	VAL-2018-05-14	
00157270	00264884	R 9-16			6545.76	2330.89	65.7627	23.5148	7319885	889093	1200			Biota;Vatten	VAL-2018-05-14	
00157271	00264885	FARSTUGRUNDEN			6519.60	2245.20	65.3267	22.7533	7267068	860431	1200			Biota;Vatten	VAL-2018-05-14	GBBX90
00157272	00264886	V22-V			5739.25	1635.60	57.6542	16.5933	6391326	595082	1200	16		Biota;Vatten	VAL-2018-05-14	BPWM02
00157273	00264887	3118 FÅRÖSUND	3118		5752.97	1902.98	57.8828	19.0497	6422856	740067	1200			Biota;Vatten	VAL-2018-05-14	
00157274	00264888	M5-V			5660.00	1629.40	57.0	16.49	6318373	590510	1200	6		Biota;Vatten	VAL-2018-05-14	BPWK22
00157275	00264889	L4 SANDÖFJÄRDEN	L4 / SANDÖFJÄRDEN		6532.65	2216.20	65.5442	22.27	7288499	835246	1200	11		Biota;Vatten	VAL-2018-05-14	GBBL04
00157276	00264890	ÅNGERMANÄLVEN 42			6245.49	1758.03	62.7582	17.9672	6962134	651497	1200	39		Biota;Vatten	VAL-2018-05-14	GBSY56
00157277	00264891	K293			6132.65	1704.89	61.5442	17.0815	6825169	610635	1200	9		Biota;Vatten	VAL-2018-05-14	GBSH09
00157278	00264892	K3			6547.33	2317.38	65.7888	23.2897	7321402	878468	1200			Biota;Vatten	VAL-2018-05-14	
00157279	00264893	V4			6304.05	1831.03	63.0675	18.5172	6997974	677676	1200	65		Biota;Vatten	VAL-2018-05-14	GBSY26
00157280	00264894	R 3-14			6157.59	1723.85	61.9598	17.3975	6872028	625719	1200			Biota;Vatten	VAL-2018-05-14	
00157281	00264895	SI-2			5616.72	1248.64	56.2787	12.8107	6239250	364453	1200	6		Biota;Vatten	VAL-2018-05-14	KAES87
00157282	00264896	K506			6057.45	1709.98	60.9575	17.1663	6759993	617310	1200	7		Biota;Vatten	VAL-2018-05-14	GBSG51
00157283	00264897	C4			6049.11	1716.75	60.8185	17.2792	6744724	623956	1200			Biota;Vatten	VAL-2018-05-14	
00157284	00264898	SKAM3			5733.27	1639.84	57.5545	16.664	6380333	599570	1200			Biota;Vatten	VAL-2018-05-14	
00157285	00264899	37 KRAMFORSFJÄRDEN SEK NAMN	37		6256.37	1751.09	62.9395	17.8515	6982056	644700	1200			Biota;Vatten	VAL-2018-05-14	
00157286	00264900	R 7-18			6522.47	2149.96	65.3745	21.8327	7267413	817196	1200			Biota;Vatten	VAL-2018-05-14	
00157287	00264901	ISAKEN W			5754.50	1133.80	57.9083	11.5633	6423680	296396	1200	31		Biota;Vatten	VAL-2018-05-14	FIBO61
00157288	00264902	SYD OBBOLA			6336.93	2015.61	63.6155	20.2602	7064896	760594	1200	31		Biota;Vatten	VAL-2018-05-14	GBQU09
00157289	00264903	KL12 KLINTEHAMN	KL12		5724.00	1807.88	57.4	18.1313	6366246	688137	1200	10	SE636621-163981	Biota;Vatten	VAL-2018-05-14	BPWG01
00157290	00264904	38 KRAMFORSFJÄRDEN SEK NAMN	38		6256.37	1751.13	62.9395	17.8522	6982057	644733	1200			Biota;Vatten	VAL-2018-05-14	
00157291	00264905	GRYM3			5734.40	1633.45	57.5733	16.5575	6382278	593150	1200			Biota;Vatten	VAL-2018-05-14	
00157292	00264906	NF2			6332.68	1930.62	63.5447	19.5103	7054178	724053	1200	11		Biota;Vatten	VAL-2018-05-14	GBQU03
00157293	00264907	A1	A1<or>A1 S SALTVIKSSUNDET		6140.03	1716.51	61.6672	17.2752	6839208	620452	1200			Biota;Vatten	VAL-2018-05-14	
00157294	00264908	VÄ6 SLITE	VÄ6		5741.12	1854.65	57.6853	18.9108	6400406	733113	1200	22	SE639983-168521	Biota;Vatten	VAL-2018-05-14	BPEG02
00157295	00264909	KL4 KLOSTERFJORDEN	KL4		5712.00	1209.41	57.2	12.1568	6343233	328240	1200			Biota;Vatten	VAL-2018-05-14	
