scientific_name	author	rank	taxon_id	synonyms	Class	Order	Family	Genus	taxon_hierarchy	RecommendedGUID
Chironomus riihimakiensis	"Wülker, 1973"	species	235268		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus riihimakiensis	urn:lsid:dyntaxa.se:Taxon:235268
Chironomus riparius	"Meigen, 1804"	species	235269		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus riparius	urn:lsid:dyntaxa.se:Taxon:235269
Chironomus salinarius	"Kieffer, 1915"	species	235270		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus salinarius	urn:lsid:dyntaxa.se:Taxon:235270
Chironomus saxatilis	"Wülker, Ryser & Scholl, 1981"	species	235271		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus saxatilis	urn:lsid:dyntaxa.se:Taxon:235271
Chironomus sollicitus	"Hirvenoja, 1962"	species	235272		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus sollicitus	urn:lsid:dyntaxa.se:Taxon:235272
Chironomus sororius	"Wülker, 1973"	species	235273		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus sororius	urn:lsid:dyntaxa.se:Taxon:235273
Chironomus staegeri	"Lundbeck, 1898"	species	235274		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus staegeri	urn:lsid:dyntaxa.se:Taxon:235274
Chironomus striatus	"Strenzke, 1959"	species	235275		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus striatus	urn:lsid:dyntaxa.se:Taxon:235275
Chironomus tenuistylus	"Brundin, 1949"	species	235276		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus tenuistylus	urn:lsid:dyntaxa.se:Taxon:235276
Chironomus uliginosus	"Keyl, 1960"	species	235277		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus uliginosus	urn:lsid:dyntaxa.se:Taxon:235277
Chironomus venustus	"Pinder, 1978"	species	235278		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus venustus	urn:lsid:dyntaxa.se:Taxon:235278
Chironomus wulkeri	"Philinkova & Beljanina, 1993"	species	235279		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Chironomus) - Chironomus wulkeri	urn:lsid:dyntaxa.se:Taxon:235279
Chironomus (Lobochironomus)	"Ryser, Wülker & Scholl, 1985"	subgenus	235280		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus)	urn:lsid:dyntaxa.se:Taxon:235280
Chironomus dorsalis	"Meigen, 1818"	species	235283		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus) - Chironomus dorsalis	urn:lsid:dyntaxa.se:Taxon:235283
Chironomus improvidus	"Hirvenoja, 1998"	species	235284		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus) - Chironomus improvidus	urn:lsid:dyntaxa.se:Taxon:235284
Chironomus mendax	"Storå, 1937"	species	235285		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus) - Chironomus mendax	urn:lsid:dyntaxa.se:Taxon:235285
Chironomus pseudomendax	"Wülker, 1999"	species	235286		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus) - Chironomus pseudomendax	urn:lsid:dyntaxa.se:Taxon:235286
Chironomus storai	"Goetghebuer, 1937"	species	235287		Insecta	Diptera	Chironomidae	Chironomus	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Chironomus - Chironomus (Lobochironomus) - Chironomus storai	urn:lsid:dyntaxa.se:Taxon:235287
Cladopelma	"Kieffer, 1921"	genus	1009977		Insecta	Diptera	Chironomidae	Cladopelma	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Cladopelma	urn:lsid:dyntaxa.se:Taxon:1009977
Cladopelma edwardsi	"(Kruseman, 1933)"	species	235288		Insecta	Diptera	Chironomidae	Cladopelma	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Cladopelma - Cladopelma edwardsi	urn:lsid:dyntaxa.se:Taxon:235288
Cladopelma goetghebueri	"Spies & Sæther, 2004"	species	235289		Insecta	Diptera	Chironomidae	Cladopelma	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Cladopelma - Cladopelma goetghebueri	urn:lsid:dyntaxa.se:Taxon:235289
Cladopelma krusemani	"(Goetghebuer, 1935)"	species	235290		Insecta	Diptera	Chironomidae	Cladopelma	Animalia - Arthropoda - Hexapoda - Insecta - Diptera - Nematocera - Chironomoidea - Chironomidae - Chironominae - Chironomini - Cladopelma - Cladopelma krusemani	urn:lsid:dyntaxa.se:Taxon:235290
